maturity_bucket,moneyness_bucket,Mean_BS_Delta,SSE_BS,MSE_BS,SSE_Vendor,MSE_Vendor,Gain,Observation_Count
"(14.999, 309.0]","(0.049, 0.15]",0.10730928534878974,17314.0050801606,3.2471877494674795,17455.85200899316,3.283644094994951,0.008126038692323867,5332
"(14.999, 309.0]","(0.15, 0.25]",0.21511925082072747,32092.196254773327,6.809292649007708,32092.196254773327,6.809292649007708,0.0,4713
"(14.999, 309.0]","(0.25, 0.35]",0.31872616369221246,45347.07551981411,9.311514480454644,45347.07551981411,9.311514480454644,0.0,4870
"(14.999, 309.0]","(0.35, 0.45]",0.4197505743464024,57514.131659011,10.986462590068959,57514.131659011,10.986462590068959,0.0,5235
"(14.999, 309.0]","(0.45, 0.55]",0.519945596593554,69287.37202262475,11.903001550012842,69287.37202262475,11.903001550012842,0.0,5821
"(14.999, 309.0]","(0.55, 0.65]",0.6190831791503028,78843.22695035502,11.727387617188015,78843.22695035502,11.727387617188015,0.0,6723
"(14.999, 309.0]","(0.65, 0.75]",0.7170064908287379,91016.26543391052,11.132126398472423,91016.26543391052,11.132126398472423,0.0,8176
"(14.999, 309.0]","(0.75, 0.85]",0.8146871163447749,113978.21286798741,10.58981816110633,113978.21286798741,10.58981816110633,0.0,10763
"(14.999, 309.0]","(0.85, 0.95]",0.9130269260443205,199320.58153427322,11.721292651236297,176652.7934679911,10.806435031993095,-0.12831831085869272,17005
"(309.0, 603.0]","(0.049, 0.15]",0.11268376063282577,495.97146368493316,1.2556239586960334,497.36241772826475,1.2623411617468647,0.002796660933258366,395
"(309.0, 603.0]","(0.15, 0.25]",0.22755076422090123,1235.590560705843,3.470760001982705,1235.590560705843,3.470760001982705,0.0,356
"(309.0, 603.0]","(0.25, 0.35]",0.3327839139774671,2544.14501269214,5.7821477561184995,2544.14501269214,5.7821477561184995,0.0,440
"(309.0, 603.0]","(0.35, 0.45]",0.43396213136510253,3658.145826921925,7.330953560965782,3658.145826921925,7.330953560965782,0.0,499
"(309.0, 603.0]","(0.45, 0.55]",0.534657968209804,5109.797506635632,8.363007375835732,5109.797506635632,8.363007375835732,0.0,611
"(309.0, 603.0]","(0.55, 0.65]",0.6322223200960565,7141.445817468127,9.238610371886322,7141.445817468127,9.238610371886322,0.0,773
"(309.0, 603.0]","(0.65, 0.75]",0.7299827002141241,9551.5543576865,9.836822201530897,9551.5543576865,9.836822201530897,0.0,971
"(309.0, 603.0]","(0.75, 0.85]",0.8274925295159512,14827.315932477091,10.82285834487379,14827.315932477091,10.82285834487379,0.0,1370
"(309.0, 603.0]","(0.85, 0.95]",0.9218599858991712,27648.781411309086,11.765438898429398,26639.463365998574,11.517277719843742,-0.03788807722751497,2350
"(603.0, 897.0]","(0.049, 0.15]",0.11430199656262396,226.9311726028043,2.14086011889438,226.54539705700486,2.157575210066713,-0.001702861990625193,106
"(603.0, 897.0]","(0.15, 0.25]",0.2296509804731956,263.7138598590412,4.626558944895459,263.7138598590412,4.626558944895459,0.0,57
"(603.0, 897.0]","(0.25, 0.35]",0.33869752066573183,341.43537391202443,7.587452753600543,341.43537391202443,7.587452753600543,0.0,45
"(603.0, 897.0]","(0.35, 0.45]",0.4445698877230572,354.04347750672866,8.233569244342528,354.04347750672866,8.233569244342528,0.0,43
"(603.0, 897.0]","(0.45, 0.55]",0.5441756679886491,483.3601004639259,11.240932568928509,483.3601004639259,11.240932568928509,0.0,43
"(603.0, 897.0]","(0.55, 0.65]",0.6398887405414592,727.192271234462,14.258671984989451,727.192271234462,14.258671984989451,0.0,51
"(603.0, 897.0]","(0.65, 0.75]",0.7396601179119076,1244.7403009462441,18.578213446958866,1244.7403009462441,18.578213446958866,0.0,67
"(603.0, 897.0]","(0.75, 0.85]",0.8381666207450378,1575.2295760828756,18.106087081412362,1575.2295760828756,18.106087081412362,0.0,87
"(603.0, 897.0]","(0.85, 0.95]",0.9313002576083533,1929.991096539133,15.564444326928491,1818.690942265448,14.907302805454492,-0.06119794830838288,124
