date,temperature_2m_mean
2016-01-01,6.4115825
2016-01-02,5.6803327
2016-01-03,6.922001
2016-01-04,5.15325
2016-01-05,5.5990834
2016-01-06,2.463667
2016-01-07,4.672
2016-01-08,5.5470004
2016-01-09,5.626167
2016-01-10,6.4949164
2016-01-11,4.6574173
2016-01-12,5.436582
2016-01-13,4.947
2016-01-14,2.8886664
2016-01-15,2.6240833
2016-01-16,2.813667
2016-01-17,-0.0071666143
2016-01-18,-2.575916
2016-01-19,-1.3863335
2016-01-20,1.7865833
2016-01-21,-0.5259165
2016-01-22,1.4032501
2016-01-23,6.828251
2016-01-24,7.532417
2016-01-25,10.147
2016-01-26,8.430332
2016-01-27,10.4595
2016-01-28,6.397
2016-01-29,9.147
2016-01-30,7.207417
2016-01-31,6.205333
2016-02-01,10.309499
2016-02-02,8.072
2016-02-03,5.113666
2016-02-04,5.269916
2016-02-05,7.61575
2016-02-06,9.172
2016-02-07,8.292834
2016-02-08,7.6178336
2016-02-09,5.5136666
2016-02-10,5.0324163
2016-02-11,4.386584
2016-02-12,2.3699167
2016-02-13,2.84075
2016-02-14,2.3178337
2016-02-15,2.9032497
2016-02-16,1.1907499
2016-02-17,-0.76550007
2016-02-18,1.5636665
2016-02-19,3.5136669
2016-02-20,7.5636673
2016-02-21,9.338668
2016-02-22,6.544916
2016-02-23,4.54075
2016-02-24,2.8782501
2016-02-25,2.2824166
2016-02-26,2.1157498
2016-02-27,2.0115833
2016-02-28,2.5303333
2016-02-29,2.5844996
2016-03-01,2.36575
2016-03-02,5.2969995
2016-03-03,3.872
2016-03-04,2.011583
2016-03-05,1.6990833
2016-03-06,2.0365832
2016-03-07,2.9845002
2016-03-08,3.2282498
2016-03-09,4.426167
2016-03-10,4.007417
2016-03-11,4.686583
2016-03-12,3.961583
2016-03-13,3.7594998
2016-03-14,3.5074174
2016-03-15,4.897
2016-03-16,4.8761663
2016-03-17,4.4990835
2016-03-18,4.999083
2016-03-19,5.7803326
2016-03-20,6.442833
2016-03-21,6.707417
2016-03-22,7.3261676
2016-03-23,6.9490848
2016-03-24,7.240751
2016-03-25,7.071999
2016-03-26,8.372
2016-03-27,8.690751
2016-03-28,8.674084
2016-03-29,7.232416
2016-03-30,7.4615827
2016-03-31,7.0095005
2016-04-01,7.0344987
2016-04-02,9.147
2016-04-03,13.255332
2016-04-04,12.1345
2016-04-05,9.257417
2016-04-06,8.328251
2016-04-07,7.080333
2016-04-08,7.12825
2016-04-09,8.649083
2016-04-10,9.736585
2016-04-11,11.869916
2016-04-12,11.1095
2016-04-13,9.701167
2016-04-14,9.809501
2016-04-15,9.513667
2016-04-16,8.021998
2016-04-17,6.7219987
2016-04-18,8.315751
2016-04-19,8.992834
2016-04-20,7.744917
2016-04-21,8.51575
2016-04-22,7.7761674
2016-04-23,6.2740836
2016-04-24,5.457417
2016-04-25,5.60325
2016-04-26,5.4511666
2016-04-27,6.036583
2016-04-28,5.6365833
2016-04-29,7.488667
2016-04-30,7.4324155
2016-05-01,7.686584
2016-05-02,9.844917
2016-05-03,9.319917
2016-05-04,9.732417
2016-05-05,12.038669
2016-05-06,15.630333
2016-05-07,17.805334
2016-05-08,18.549082
2016-05-09,19.038666
2016-05-10,18.647
2016-05-11,19.155334
2016-05-12,18.913668
2016-05-13,14.090749
2016-05-14,8.9053335
2016-05-15,8.8095
2016-05-16,9.3532505
2016-05-17,11.815749
2016-05-18,12.965751
2016-05-19,13.028252
2016-05-20,13.042834
2016-05-21,16.567835
2016-05-22,14.776165
2016-05-23,11.669917
2016-05-24,10.872002
2016-05-25,12.174084
2016-05-26,13.511584
2016-05-27,14.978246
2016-05-28,16.399084
2016-05-29,16.488667
2016-05-30,15.847
2016-05-31,18.434504
2016-06-01,17.6595
2016-06-02,15.076165
2016-06-03,17.349085
2016-06-04,19.988667
2016-06-05,17.659498
2016-06-06,16.488668
2016-06-07,17.930334
2016-06-08,15.049083
2016-06-09,13.722
2016-06-10,14.559499
2016-06-11,14.790751
2016-06-12,16.147
2016-06-13,15.503251
2016-06-14,15.274082
2016-06-15,14.840751
2016-06-16,15.886581
2016-06-17,15.192834
2016-06-18,13.869916
2016-06-19,14.580335
2016-06-20,15.313666
2016-06-21,16.694916
2016-06-22,19.219917
2016-06-23,21.607416
2016-06-24,18.449083
2016-06-25,15.397
2016-06-26,14.886581
2016-06-27,14.978251
2016-06-28,16.161583
2016-06-29,15.717834
2016-06-30,15.6157465
2016-07-01,16.674086
2016-07-02,14.619915
2016-07-03,15.174085
2016-07-04,16.805334
2016-07-05,15.4845
2016-07-06,15.019917
2016-07-07,16.263666
2016-07-08,16.847
2016-07-09,18.328249
2016-07-10,19.599085
2016-07-11,17.830332
2016-07-12,16.597002
2016-07-13,15.059499
2016-07-14,14.742835
2016-07-15,16.06575
2016-07-16,18.480335
2016-07-17,18.682415
2016-07-18,18.90742
2016-07-19,21.609503
2016-07-20,23.682417
2016-07-21,20.997002
2016-07-22,20.686584
2016-07-23,20.303251
2016-07-24,19.97825
2016-07-25,18.661585
2016-07-26,18.953249
2016-07-27,18.261583
2016-07-28,18.086584
2016-07-29,18.280333
2016-07-30,18.186584
2016-07-31,16.719917
2016-08-01,16.794916
2016-08-02,16.592834
2016-08-03,18.913668
2016-08-04,17.803247
2016-08-05,17.35325
2016-08-06,17.09075
2016-08-07,18.686584
2016-08-08,17.217833
2016-08-09,14.8345
2016-08-10,13.705333
2016-08-11,14.5095
2016-08-12,18.63242
2016-08-13,17.780336
2016-08-14,17.049084
2016-08-15,16.301168
2016-08-16,16.482414
2016-08-17,17.5095
2016-08-18,17.449085
2016-08-19,18.676168
2016-08-20,18.544918
2016-08-21,17.105333
2016-08-22,18.374084
2016-08-23,21.499083
2016-08-24,23.424086
2016-08-25,24.372
2016-08-26,21.063665
2016-08-27,21.111586
2016-08-28,20.444916
2016-08-29,17.576166
2016-08-30,17.188665
2016-08-31,18.501165
2016-09-01,17.76367
2016-09-02,17.351168
2016-09-03,18.563667
2016-09-04,17.765753
2016-09-05,17.847
2016-09-06,19.180336
2016-09-07,20.240751
2016-09-08,19.786585
2016-09-09,18.617838
2016-09-10,19.417833
2016-09-11,19.244915
2016-09-12,21.686583
2016-09-13,23.780334
2016-09-14,24.02825
2016-09-15,22.582418
2016-09-16,18.28242
2016-09-17,18.080334
2016-09-18,17.207418
2016-09-19,16.138666
2016-09-20,15.536583
2016-09-21,16.022001
2016-09-22,16.249084
2016-09-23,15.449084
2016-09-24,17.084501
2016-09-25,17.034502
2016-09-26,14.994918
2016-09-27,15.124084
2016-09-28,17.888668
2016-09-29,17.076168
2016-09-30,14.934501
2016-10-01,13.567834
2016-10-02,12.442833
2016-10-03,14.226167
2016-10-04,12.713666
2016-10-05,10.569918
2016-10-06,10.194917
2016-10-07,11.897
2016-10-08,11.057416
2016-10-09,9.503251
2016-10-10,8.7282505
2016-10-11,9.492833
2016-10-12,9.324084
2016-10-13,9.107417
2016-10-14,9.213667
2016-10-15,11.317833
2016-10-16,13.057419
2016-10-17,12.988667
2016-10-18,10.70325
2016-10-19,9.959499
2016-10-20,10.172
2016-10-21,9.282416
2016-10-22,7.5761657
2016-10-23,6.2574162
2016-10-24,7.699083
2016-10-25,8.9782505
2016-10-26,10.017833
2016-10-27,12.376167
2016-10-28,13.161583
2016-10-29,10.805333
2016-10-30,9.738667
2016-10-31,9.0511675
2016-11-01,10.488667
2016-11-02,8.938666
2016-11-03,8.174085
2016-11-04,8.34075
2016-11-05,7.813667
2016-11-06,7.54075
2016-11-07,4.4011664
2016-11-08,3.1803334
2016-11-09,2.907417
2016-11-10,3.4178333
2016-11-11,3.1720006
2016-11-12,2.892833
2016-11-13,4.0053334
2016-11-14,3.3678334
2016-11-15,11.20325
2016-11-16,11.217834
2016-11-17,9.180331
2016-11-18,6.876165
2016-11-19,5.4824166
2016-11-20,7.6282496
2016-11-21,10.882416
2016-11-22,10.51575
2016-11-23,7.544916
2016-11-24,6.717833
2016-11-25,3.6990836
2016-11-26,2.1740835
2016-11-27,7.2428327
2016-11-28,1.20325
2016-11-29,-1.7154999
2016-11-30,4.4990835
2016-12-01,8.424085
2016-12-02,7.5720005
2016-12-03,3.588667
2016-12-04,-0.7009167
2016-12-05,-1.1363333
2016-12-06,0.10741662
2016-12-07,6.024084
2016-12-08,8.057418
2016-12-09,9.42825
2016-12-10,8.6095
2016-12-11,8.567833
2016-12-12,6.8074155
2016-12-13,6.717834
2016-12-14,8.172
2016-12-15,6.2782497
2016-12-16,5.6345
2016-12-17,7.10325
2016-12-18,7.4344997
2016-12-19,4.738667
2016-12-20,1.4365834
2016-12-21,4.688667
2016-12-22,6.626167
2016-12-23,6.636583
2016-12-24,8.280333
2016-12-25,9.919916
2016-12-26,8.4845
2016-12-27,7.1095014
2016-12-28,4.426167
2016-12-29,1.0970001
2016-12-30,0.9199166
2016-12-31,4.261583
2017-01-01,1.5770832
2017-01-02,2.1270833
2017-01-03,5.2770834
2017-01-04,5.3624997
2017-01-05,-0.14583331
2017-01-06,-2.3333333
2017-01-07,1.9854168
2017-01-08,2.13125
2017-01-09,4.55
2017-01-10,4.93125
2017-01-11,7.0229163
2017-01-12,4.93125
2017-01-13,3.3500001
2017-01-14,2.8291667
2017-01-15,0.67916656
2017-01-16,-0.95624995
2017-01-17,-3.8687499
2017-01-18,-2.9666665
2017-01-19,-2.55
2017-01-20,-1.04375
2017-01-21,0.67499995
2017-01-22,-1.7041665
2017-01-23,-0.63750017
2017-01-24,1.7125
2017-01-25,-0.4395833
2017-01-26,-2.5041668
2017-01-27,0.50833327
2017-01-28,5.097916
2017-01-29,4.285417
2017-01-30,5.0666666
2017-01-31,3.3687499
2017-02-01,3.6354167
2017-02-02,8.760417
2017-02-03,8.318749
2017-02-04,6.058334
2017-02-05,4.8770833
2017-02-06,4.029166
2017-02-07,2.0354164
2017-02-08,-0.060416643
2017-02-09,-1.31875
2017-02-10,-2.039583
2017-02-11,-0.8
2017-02-12,-0.0020833511
2017-02-13,1.0895832
2017-02-14,2.3812501
2017-02-15,6.2062507
2017-02-16,6.689583
2017-02-17,6.7333336
2017-02-18,5.6229157
2017-02-19,6.2437496
2017-02-20,9.112499
2017-02-21,8.522916
2017-02-22,8.868751
2017-02-23,7.512501
2017-02-24,4.5125
2017-02-25,5.6749997
2017-02-26,8.966666
2017-02-27,8.585417
2017-02-28,4.3062496
2017-03-01,5.3416667
2017-03-02,5.754166
2017-03-03,5.9250007
2017-03-04,8.697915
2017-03-05,6.46875
2017-03-06,4.8437505
2017-03-07,5.3333335
2017-03-08,6.035416
2017-03-09,7.129167
2017-03-10,6.0520835
2017-03-11,6.891666
2017-03-12,7.602083
2017-03-13,5.9500003
2017-03-14,8.302084
2017-03-15,8.389585
2017-03-16,9.402083
2017-03-17,7.8812504
2017-03-18,8.689584
2017-03-19,10.714584
2017-03-20,9.85625
2017-03-21,6.6437507
2017-03-22,6.5249996
2017-03-23,7.608333
2017-03-24,7.691666
2017-03-25,7.0583324
2017-03-26,7.7833343
2017-03-27,8.750001
2017-03-28,10.333333
2017-03-29,11.435417
2017-03-30,14.814583
2017-03-31,13.6208315
2017-04-01,9.910417
2017-04-02,9.933333
2017-04-03,8.658334
2017-04-04,9.091666
2017-04-05,8.572916
2017-04-06,7.625
2017-04-07,9.222918
2017-04-08,8.770833
2017-04-09,11.610415
2017-04-10,9.3875
2017-04-11,8.943749
2017-04-12,9.650001
2017-04-13,8.40625
2017-04-14,9.2
2017-04-15,9.095832
2017-04-16,7.768751
2017-04-17,6.6000004
2017-04-18,5.933333
2017-04-19,4.5375
2017-04-20,5.99375
2017-04-21,10.71875
2017-04-22,7.8854165
2017-04-23,7.1229177
2017-04-24,8.752083
2017-04-25,6.2395835
2017-04-26,5.6687503
2017-04-27,6.1062503
2017-04-28,7.3749995
2017-04-29,8.537499
2017-04-30,11.447917
2017-05-01,10.966666
2017-05-02,10.760417
2017-05-03,10.777083
2017-05-04,10.29375
2017-05-05,9.041667
2017-05-06,11.73125
2017-05-07,10.695832
2017-05-08,9.65625
2017-05-09,8.006249
2017-05-10,8.754167
2017-05-11,13.508335
2017-05-12,15.002084
2017-05-13,14.116666
2017-05-14,13.022916
2017-05-15,14.637501
2017-05-16,18.977085
2017-05-17,20.941666
2017-05-18,14.747918
2017-05-19,12.495833
2017-05-20,12.506249
2017-05-21,13.627083
2017-05-22,17.354166
2017-05-23,14.804166
2017-05-24,14.679166
2017-05-25,16.058332
2017-05-26,18.793749
2017-05-27,21.241663
2017-05-28,17.870832
2017-05-29,20.297916
2017-05-30,16.697916
2017-05-31,15.756251
2017-06-01,15.833333
2017-06-02,19.139584
2017-06-03,17.483334
2017-06-04,15.041668
2017-06-05,15.918751
2017-06-06,14.683334
2017-06-07,13.833335
2017-06-08,16.372915
2017-06-09,15.183334
2017-06-10,17.2625
2017-06-11,19.104166
2017-06-12,15.752084
2017-06-13,15.699998
2017-06-14,16.631252
2017-06-15,18.770834
2017-06-16,15.785417
2017-06-17,17.683334
2017-06-18,20.37708
2017-06-19,23.006248
2017-06-20,20.020832
2017-06-21,19.908333
2017-06-22,21.533333
2017-06-23,17.958332
2017-06-24,17.691666
2017-06-25,16.908335
2017-06-26,16.0625
2017-06-27,17.220833
2017-06-28,17.429169
2017-06-29,16.866667
2017-06-30,16.308332
2017-07-01,15.791667
2017-07-02,15.468753
2017-07-03,16.312498
2017-07-04,17.154165
2017-07-05,18.466667
2017-07-06,20.116665
2017-07-07,19.608332
2017-07-08,17.877083
2017-07-09,17.360418
2017-07-10,18.572918
2017-07-11,17.179167
2017-07-12,15.014583
2017-07-13,15.16875
2017-07-14,14.616666
2017-07-15,17.0625
2017-07-16,18.185417
2017-07-17,17.30625
2017-07-18,18.858335
2017-07-19,22.11458
2017-07-20,19.004168
2017-07-21,17.945833
2017-07-22,19.1
2017-07-23,15.839584
2017-07-24,15.535415
2017-07-25,16.50625
2017-07-26,18.356249
2017-07-27,17.491665
2017-07-28,17.185415
2017-07-29,18.1
2017-07-30,17.852081
2017-07-31,17.4625
2017-08-01,17.833334
2017-08-02,18.216667
2017-08-03,18.456251
2017-08-04,17.949999
2017-08-05,16.110416
2017-08-06,15.922917
2017-08-07,16.014582
2017-08-08,16.789583
2017-08-09,16.18125
2017-08-10,15.516664
2017-08-11,16.229166
2017-08-12,17.156248
2017-08-13,16.414585
2017-08-14,18.466667
2017-08-15,18.147917
2017-08-16,17.08958
2017-08-17,17.220833
2017-08-18,16.65
2017-08-19,15.408333
2017-08-20,15.870833
2017-08-21,16.427084
2017-08-22,17.531252
2017-08-23,19.108332
2017-08-24,18.1
2017-08-25,17.606253
2017-08-26,17.75
2017-08-27,17.88125
2017-08-28,18.702084
2017-08-29,19.902084
2017-08-30,17.587502
2017-08-31,14.545834
2017-09-01,14.560418
2017-09-02,13.839583
2017-09-03,13.470833
2017-09-04,15.829167
2017-09-05,18.252083
2017-09-06,15.816667
2017-09-07,15.649999
2017-09-08,14.712501
2017-09-09,13.777083
2017-09-10,14.291668
2017-09-11,14.274999
2017-09-12,13.874997
2017-09-13,14.368752
2017-09-14,12.352084
2017-09-15,12.229167
2017-09-16,11.610416
2017-09-17,11.110416
2017-09-18,12.291665
2017-09-19,12.358334
2017-09-20,13.929165
2017-09-21,14.516666
2017-09-22,12.729167
2017-09-23,11.049999
2017-09-24,12.9375
2017-09-25,13.691666
2017-09-26,13.264583
2017-09-27,14.070834
2017-09-28,15.572917
2017-09-29,16.660418
2017-09-30,13.395836
2017-10-01,13.679165
2017-10-02,15.539584
2017-10-03,13.710416
2017-10-04,13.585416
2017-10-05,13.395835
2017-10-06,12.183333
2017-10-07,13.516666
2017-10-08,12.258334
2017-10-09,12.314584
2017-10-10,14.072918
