section,bin1,bin2,n_obs,sse_bs,sse_sabr,sse_bartlett,mse_bs,mse_sabr,mse_bartlett,gain_sabr_vs_bs,gain_bart_vs_bs,relgain_bart_vs_sabr
BUCKET,1,1,1578,61116.516257079355,62462.94508901481,50917.103268629275,38.73036518192608,39.58361539227808,32.266858852109806,-0.022030523243043776,0.16688472467160043,0.1848430586155002
BUCKET,1,2,1127,32483.01474022571,33154.15414199486,23037.277291754945,28.822550789907464,29.418060463172015,20.44123983296801,-0.02066124117901036,0.29079004901517125,0.3051465830468988
BUCKET,1,3,795,21773.330675099474,21032.735161298027,12815.934590246787,27.38783732716915,26.456270643142172,16.120672440561997,0.034013882618721736,0.41139301186917576,0.39066723885587806
BUCKET,1,4,587,13895.536067435385,14879.023964794625,8025.00684465768,23.672122772462327,25.347570638491696,13.671221200438977,-0.07077725483826947,0.4224759083987749,0.46064964586079626
BUCKET,1,5,684,16680.07647928533,17423.08608693358,8763.966705834384,24.386076724101358,25.472348080312255,12.812816821395298,-0.0445447362649074,0.4745847408602599,0.49699113795879657
BUCKET,1,6,142,3529.4481077343357,3740.6173948098385,1412.213093246158,24.855268364326307,26.342376019787594,9.94516262849407,-0.0598306819167429,0.5998770770559076,0.6224652392394837
BUCKET,2,1,1416,205459.95107981123,209069.76909169677,170260.98186858115,145.09883550834127,147.64814201391016,120.24080640436522,-0.017569448415196476,0.17131790904377753,0.18562601083705366
BUCKET,2,2,913,106423.76440566589,111438.8334178493,79206.77603660026,116.56491172581148,122.05786792754577,86.75440967864213,-0.047123582220480076,0.25574164305370717,0.2892354163507098
BUCKET,2,3,698,78294.62810209348,81622.29380092767,47325.57736892515,112.16995430099352,116.93738366895082,67.8016867749644,-0.042501839264055485,0.39554502631758803,0.42018809855614137
BUCKET,2,4,620,62415.40689882031,73112.41958570539,38746.019327945454,100.67001112712953,117.92325739629901,62.493579561202345,-0.17138416968466896,0.3792234761722305,0.47004873388814905
BUCKET,2,5,769,80765.2432936948,89991.45500490288,48806.82293072887,105.02632417905696,117.02399870598553,63.46791018300243,-0.11423492748802677,0.3956952156604333,0.45765047439148754
BUCKET,2,6,83,9313.355947592489,10972.47172660684,4592.979683996639,112.20910780231914,132.19845453743181,55.33710462646553,-0.1781437097809233,0.5068394561700469,0.5814088385519143
BUCKET,3,1,1421,431847.18442013615,449858.0060537707,363524.77319592563,303.9037188037552,316.5784701293249,255.82320421951135,-0.041706469981548366,0.15820969474641966,0.19191218494736717
