,contractSymbol,lastTradeDate,strike,Last,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,SPXW250403C02800000,2025-04-03 02:35:56+00:00,2800.0,2713.28,2643.4,2661.6,-183.11987,-6.322327,1.0,1,6.398561572113038,True,REGULAR,USD
1,SPXW250403C05100000,2025-04-02 19:46:46+00:00,5100.0,572.3,347.0,354.3,0.0,0.0,6.0,4,0.8997202410888672,True,REGULAR,USD
2,SPXW250403C05150000,2025-04-03 02:48:42+00:00,5150.0,366.97,296.5,304.2,-96.91,-20.891178,1.0,3,0.7891561611938477,True,REGULAR,USD
3,SPXW250403C05200000,2025-04-03 16:40:04+00:00,5200.0,264.9,255.3,256.1,-193.66,-42.232204,68.0,5,0.7809164974975585,True,REGULAR,USD
4,SPXW250403C05400000,2025-04-03 17:15:38+00:00,5400.0,57.1,58.5,59.1,-213.6,-78.90653,2890.0,12,0.30750204223632804,True,REGULAR,USD
5,SPXW250403C05420000,2025-04-03 17:15:39+00:00,5420.0,40.93,39.0,39.5,-141.98001,-77.62288,2190.0,7,0.24448387359619145,True,REGULAR,USD
6,SPXW250403C05430000,2025-04-03 17:16:39+00:00,5430.0,35.36,35.2,35.5,-190.34,-84.33318,4218.0,1,0.26129889099121095,True,REGULAR,USD
7,SPXW250403C05450000,2025-04-03 17:17:17+00:00,5450.0,21.3,21.3,21.6,-207.62,-90.69544,14347.0,8,0.22721109710693355,False,REGULAR,USD
8,SPXW250403C05455000,2025-04-03 17:17:01+00:00,5455.0,19.0,18.8,19.0,-195.4,-91.13806,9484.0,9,0.2230454893493652,False,REGULAR,USD
9,SPXW250403C05470000,2025-04-03 17:17:24+00:00,5470.0,11.9,11.8,12.1,-214.3,-94.613686,14198.0,19,0.2092364233398437,False,REGULAR,USD
10,SPXW250403C05480000,2025-04-03 17:17:01+00:00,5480.0,9.3,9.1,9.2,-188.56999,-95.29995,13531.0,100,0.20850400878906244,False,REGULAR,USD
11,SPXW250403C05490000,2025-04-03 17:17:09+00:00,5490.0,6.6,6.5,6.7,-200.45,-96.81236,11745.0,48,0.2059405578613281,False,REGULAR,USD
12,SPXW250403C05500000,2025-04-03 17:17:25+00:00,5500.0,4.5,4.4,4.6,-168.09,-97.39267,39094.0,264,0.20136296691894529,False,REGULAR,USD
13,SPXW250403C05505000,2025-04-03 17:10:41+00:00,5505.0,3.9,3.8,3.9,-194.79001,-97.9041,10688.0,228,0.20154607055664062,False,REGULAR,USD
14,SPXW250403C05510000,2025-04-03 17:03:16+00:00,5510.0,3.8,3.8,3.9,-190.09,-97.99969,14855.0,37,0.21219659881591796,False,REGULAR,USD
15,SPXW250403C05515000,2025-04-03 17:05:47+00:00,5515.0,3.2,3.2,3.3,-159.04001,-97.90692,8644.0,44,0.21210504699707028,False,REGULAR,USD
16,SPXW250403C05520000,2025-04-03 16:54:30+00:00,5520.0,3.1,3.1,3.2,-155.48,-97.98337,12185.0,114,0.22031419342041014,False,REGULAR,USD
17,SPXW250403C05525000,2025-04-03 16:51:22+00:00,5525.0,2.8,2.8,2.9,-139.20999,-97.89044,10037.0,72,0.22425092163085933,False,REGULAR,USD
18,SPXW250403C05530000,2025-04-03 16:46:30+00:00,5530.0,2.94,2.9,3.0,-146.69,-97.99586,14196.0,79,0.23596955444335935,False,REGULAR,USD
19,SPXW250403C05535000,2025-04-03 16:44:44+00:00,5535.0,2.8,2.75,2.8,-140.56999,-97.944534,7799.0,77,0.24131007720947267,False,REGULAR,USD
20,SPXW250403C05540000,2025-04-03 17:16:58+00:00,5540.0,1.0,0.9,1.0,-173.44,-99.426735,18392.0,107,0.20014227600097656,False,REGULAR,USD
21,SPXW250403C05545000,2025-04-03 17:17:26+00:00,5545.0,0.67,0.65,0.7,-169.07,-99.58768,11289.0,71,0.1951374432373047,False,REGULAR,USD
22,SPXW250403C05550000,2025-04-03 17:17:21+00:00,5550.0,0.55,0.5,0.6,-125.369995,-99.56322,30023.0,867,0.19751779052734375,False,REGULAR,USD
23,SPXW250403C05555000,2025-04-03 17:17:20+00:00,5555.0,0.45,0.45,0.5,-114.05,-99.56351,11156.0,81,0.1991046887207031,False,REGULAR,USD
24,SPXW250403C05560000,2025-04-03 17:15:49+00:00,5560.0,0.37,0.35,0.45,-115.28,-99.68007,14105.0,624,0.20288883056640622,False,REGULAR,USD
25,SPXW250403C05565000,2025-04-03 17:16:59+00:00,5565.0,0.3,0.3,0.35,-100.45,-99.70223,10807.0,94,0.2024005541992187,False,REGULAR,USD
26,SPXW250403C05570000,2025-04-03 17:17:25+00:00,5570.0,0.22,0.2,0.25,-116.909996,-99.81218,11661.0,217,0.1997150341796875,False,REGULAR,USD
27,SPXW250403C05575000,2025-04-03 17:16:48+00:00,5575.0,0.2,0.15,0.25,-104.47,-99.80892,13001.0,172,0.2063067651367187,False,REGULAR,USD
28,SPXW250403C05580000,2025-04-03 17:17:14+00:00,5580.0,0.15,0.15,0.2,-100.57,-99.851074,12781.0,283,0.2067950415039062,False,REGULAR,USD
29,SPXW250403C05585000,2025-04-03 17:16:38+00:00,5585.0,0.15,0.1,0.15,-93.659996,-99.8614,6881.0,142,0.20581848876953124,False,REGULAR,USD
30,SPXW250403C05590000,2025-04-03 17:17:17+00:00,5590.0,0.1,0.05,0.1,-88.14,-99.92065,6853.0,467,0.20215641601562498,False,REGULAR,USD
31,SPXW250403C05595000,2025-04-03 17:17:21+00:00,5595.0,0.07,0.05,0.1,-120.090004,-99.94174,6807.0,420,0.2082598706054687,False,REGULAR,USD
32,SPXW250403C05600000,2025-04-03 17:15:44+00:00,5600.0,0.07,0.05,0.1,-96.38,-99.92743,20706.0,1184,0.21436332519531248,False,REGULAR,USD
33,SPXW250403C05605000,2025-04-03 17:15:01+00:00,5605.0,0.05,0.05,0.1,-77.649994,-99.909935,5950.0,180,0.22022264160156246,False,REGULAR,USD
34,SPXW250403C05610000,2025-04-03 17:16:35+00:00,5610.0,0.05,0.05,0.1,-103.45,-99.95169,6061.0,312,0.2260819580078125,False,REGULAR,USD
35,SPXW250403C05615000,2025-04-03 17:17:36+00:00,5615.0,0.05,0.0,0.05,-99.25,-99.96978,7506.0,280,0.215828154296875,False,REGULAR,USD
36,SPXW250403C05620000,2025-04-03 17:15:09+00:00,5620.0,0.03,0.0,0.05,-77.950005,-99.96153,7144.0,409,0.22168747070312497,False,REGULAR,USD
37,SPXW250403C05625000,2025-04-03 17:17:00+00:00,5625.0,0.05,0.0,0.05,-74.18,-99.93264,5071.0,455,0.22657023437499998,False,REGULAR,USD
38,SPXW250403C05630000,2025-04-03 17:15:40+00:00,5630.0,0.03,0.0,0.05,-74.130005,-99.95955,7067.0,349,0.23242955078125,False,REGULAR,USD
39,SPXW250403C05635000,2025-04-03 17:08:35+00:00,5635.0,0.03,0.0,0.05,-75.3,-99.96018,5151.0,362,0.23780059082031246,False,REGULAR,USD
40,SPXW250403C05640000,2025-04-03 17:05:35+00:00,5640.0,0.03,0.0,0.05,-71.6,-99.930214,6126.0,405,0.243171630859375,False,REGULAR,USD
41,SPXW250403C05645000,2025-04-03 17:06:01+00:00,5645.0,0.04,0.0,0.05,-74.92,-99.933304,4207.0,370,0.249030947265625,False,REGULAR,USD
42,SPXW250403C05650000,2025-04-03 17:14:44+00:00,5650.0,0.05,0.0,0.05,-69.95,-99.95713,10492.0,2141,0.25391371093750004,False,REGULAR,USD
43,SPXW250403C05655000,2025-04-03 16:52:53+00:00,5655.0,0.05,0.0,0.05,-56.57,-99.9117,3344.0,468,0.25977302734375,False,REGULAR,USD
44,SPXW250403C05660000,2025-04-03 16:52:59+00:00,5660.0,0.05,0.0,0.05,-69.95,-99.928566,3327.0,674,0.264655791015625,False,REGULAR,USD
45,SPXW250403C05665000,2025-04-03 17:16:43+00:00,5665.0,0.03,0.0,0.05,-55.33,-99.94581,2864.0,582,0.270515107421875,False,REGULAR,USD
