,contractSymbol,lastTradeDate,strike,Last,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,SPXW250403P02400000,2025-03-12 15:07:57+00:00,2400.0,0.1,0.0,0.05,0.0,0.0,13.0,126,4.2812546484375,False,REGULAR,USD
1,SPXW250403P02600000,2025-04-03 16:34:21+00:00,2600.0,0.05,0.0,0.05,-0.26999998,-84.37499,2.0,8,3.8750003125,False,REGULAR,USD
2,SPXW250403P02800000,2025-04-03 13:30:25+00:00,2800.0,0.05,0.0,0.05,-0.10000001,-66.66667,2.0,130,3.50000125,False,REGULAR,USD
3,SPXW250403P03000000,2025-03-20 19:40:59+00:00,3000.0,0.05,0.0,0.05,0.0,0.0,1.0,92,3.156252109375,False,REGULAR,USD
4,SPXW250403P03200000,2025-03-17 19:51:10+00:00,3200.0,0.12,0.0,0.05,0.0,0.0,5.0,5,2.8281279296874997,False,REGULAR,USD
5,SPXW250403P03400000,2025-04-03 15:38:19+00:00,3400.0,0.05,0.0,0.05,0.0,0.0,1.0,23,2.5156287109374995,False,REGULAR,USD
6,SPXW250403P03600000,2025-03-31 13:51:22+00:00,3600.0,0.03,0.0,0.05,0.0,0.0,3.0,87,2.2265669335937495,False,REGULAR,USD
7,SPXW250403P03800000,2025-04-03 13:41:23+00:00,3800.0,0.05,0.0,0.05,0.0,0.0,1.0,945,1.953125234375,False,REGULAR,USD
8,SPXW250403P04000000,2025-04-03 13:30:24+00:00,4000.0,0.05,0.0,0.05,0.0,0.0,50.0,1203,1.6875015625,False,REGULAR,USD
9,SPXW250403P04200000,2025-04-01 19:14:51+00:00,4200.0,0.05,0.0,0.05,0.0,0.0,417.0,4394,1.4296903515625,False,REGULAR,USD
10,SPXW250403P04300000,2025-04-02 20:08:38+00:00,4300.0,0.05,0.0,0.05,0.0,0.0,23.0,1218,1.3125034374999998,False,REGULAR,USD
11,SPXW250403P04400000,2025-04-03 15:01:58+00:00,4400.0,0.05,0.0,0.05,0.0,0.0,3.0,1862,1.1875040625,False,REGULAR,USD
12,SPXW250403P04500000,2025-04-03 14:12:31+00:00,4500.0,0.05,0.0,0.05,0.0,0.0,24.0,29628,1.0703171484375003,False,REGULAR,USD
13,SPXW250403P04600000,2025-04-03 07:31:05+00:00,4600.0,0.05,0.0,0.05,-0.02,-28.571428,12.0,4640,0.9531254687499999,False,REGULAR,USD
14,SPXW250403P04700000,2025-04-03 14:50:41+00:00,4700.0,0.05,0.0,0.05,-0.05,-50.0,59.0,17539,0.8398453515625,False,REGULAR,USD
15,SPXW250403P04750000,2025-04-03 13:31:19+00:00,4750.0,0.05,0.0,0.05,-0.02,-28.571428,14.0,7920,0.7812521875,False,REGULAR,USD
16,SPXW250403P04800000,2025-04-03 15:23:25+00:00,4800.0,0.03,0.0,0.05,-0.07,-70.0,268.0,3274,0.726565234375,False,REGULAR,USD
17,SPXW250403P04850000,2025-04-03 14:29:20+00:00,4850.0,0.05,0.0,0.05,-0.10000001,-66.66667,327.0,4794,0.6718782812500002,False,REGULAR,USD
18,SPXW250403P04900000,2025-04-03 15:10:04+00:00,4900.0,0.03,0.0,0.05,-0.120000005,-80.0,644.0,6093,0.6132851171875001,False,REGULAR,USD
19,SPXW250403P04950000,2025-04-03 15:20:52+00:00,4950.0,0.03,0.0,0.05,-0.120000005,-80.0,1161.0,3645,0.5585981640625001,False,REGULAR,USD
20,SPXW250403P04975000,2025-04-03 15:35:45+00:00,4975.0,0.03,0.0,0.05,-0.17,-85.0,506.0,1266,0.5312546875,False,REGULAR,USD
21,SPXW250403P05000000,2025-04-03 16:54:58+00:00,5000.0,0.05,0.0,0.05,-0.15,-75.0,438.0,10475,0.5039112109375,False,REGULAR,USD
22,SPXW250403P05025000,2025-04-03 15:26:33+00:00,5025.0,0.05,0.0,0.05,-0.15,-75.0,397.0,504,0.5039112109375,False,REGULAR,USD
23,SPXW250403P05050000,2025-04-03 16:54:12+00:00,5050.0,0.05,0.0,0.05,-0.15,-75.0,746.0,871,0.47461462890625,False,REGULAR,USD
24,SPXW250403P05075000,2025-04-03 15:55:06+00:00,5075.0,0.03,0.0,0.05,-0.22999999,-88.46153,960.0,751,0.446294599609375,False,REGULAR,USD
25,SPXW250403P05100000,2025-04-03 16:04:56+00:00,5100.0,0.05,0.0,0.05,-0.2,-80.0,2232.0,1613,0.41797457031249996,False,REGULAR,USD
26,SPXW250403P05125000,2025-04-03 17:15:43+00:00,5125.0,0.05,0.0,0.1,-0.2,-80.0,2130.0,855,0.414068359375,False,REGULAR,USD
27,SPXW250403P05150000,2025-04-03 16:50:26+00:00,5150.0,0.05,0.05,0.1,-0.15,-75.0,2710.0,7071,0.383795224609375,False,REGULAR,USD
28,SPXW250403P05175000,2025-04-03 17:11:53+00:00,5175.0,0.05,0.0,0.05,-0.29999998,-85.71428,959.0,1768,0.33008482421874996,False,REGULAR,USD
29,SPXW250403P05200000,2025-04-03 17:15:36+00:00,5200.0,0.05,0.0,0.05,-0.25,-83.33333,8186.0,2004,0.301764794921875,False,REGULAR,USD
30,SPXW250403P05225000,2025-04-03 17:14:10+00:00,5225.0,0.07,0.05,0.15,-0.28,-80.0,2498.0,838,0.304694453125,False,REGULAR,USD
31,SPXW250403P05240000,2025-04-03 17:07:07+00:00,5240.0,0.05,0.05,0.2,-0.2,-80.0,1485.0,170,0.29492892578124996,False,REGULAR,USD
32,SPXW250403P05250000,2025-04-03 17:09:51+00:00,5250.0,0.05,0.15,0.2,-0.32999998,-86.84211,4482.0,3485,0.28174546386718746,False,REGULAR,USD
33,SPXW250403P05260000,2025-04-03 17:10:16+00:00,5260.0,0.07,0.05,0.1,-0.33,-82.5,1499.0,766,0.24805439453125,False,REGULAR,USD
34,SPXW250403P05270000,2025-04-03 17:07:41+00:00,5270.0,0.07,0.1,0.15,-0.4,-85.106384,1658.0,139,0.24658956542968752,False,REGULAR,USD
35,SPXW250403P05275000,2025-04-03 17:08:45+00:00,5275.0,0.15,0.1,0.15,-0.22,-59.459457,3144.0,3445,0.24024197265624997,False,REGULAR,USD
36,SPXW250403P05280000,2025-04-03 17:17:28+00:00,5280.0,0.1,0.05,0.1,-0.35,-77.77778,3645.0,905,0.22315229980468748,False,REGULAR,USD
37,SPXW250403P05290000,2025-04-03 17:15:17+00:00,5290.0,0.12,0.1,0.15,-0.34,-69.38776,3984.0,244,0.22071091796874998,False,REGULAR,USD
38,SPXW250403P05300000,2025-04-03 17:14:31+00:00,5300.0,0.17,0.1,0.15,-0.32999998,-66.0,20704.0,4930,0.20752745605468748,False,REGULAR,USD
39,SPXW250403P05310000,2025-04-03 17:16:10+00:00,5310.0,0.17,0.15,0.2,-0.32999998,-66.0,7403.0,2933,0.20142400146484374,False,REGULAR,USD
40,SPXW250403P05320000,2025-04-03 17:14:55+00:00,5320.0,0.25,0.2,0.25,-0.15,-42.857143,6223.0,1337,0.19336744140625,False,REGULAR,USD
41,SPXW250403P05325000,2025-04-03 17:15:08+00:00,5325.0,0.27,0.2,0.25,-0.13,-32.5,9197.0,3967,0.18640950317382812,False,REGULAR,USD
42,SPXW250403P05330000,2025-04-03 17:16:55+00:00,5330.0,0.3,0.25,0.3,-0.26999998,-47.36842,10560.0,2833,0.1840901904296875,False,REGULAR,USD
43,SPXW250403P05340000,2025-04-03 17:16:33+00:00,5340.0,0.37,0.3,0.4,-0.07999998,-17.777775,12563.0,623,0.1771322521972656,False,REGULAR,USD
44,SPXW250403P05350000,2025-04-03 17:17:17+00:00,5350.0,0.55,0.5,0.55,0.060000002,14.634147,28366.0,4647,0.17078465942382814,False,REGULAR,USD
45,SPXW250403P05355000,2025-04-03 17:16:33+00:00,5355.0,0.57,0.55,0.6,-0.07999998,-11.764703,9550.0,269,0.16529155029296877,False,REGULAR,USD
46,SPXW250403P05360000,2025-04-03 17:16:28+00:00,5360.0,0.65,0.6,0.7,-0.13,-16.666668,15444.0,1419,0.16175154663085936,False,REGULAR,USD
47,SPXW250403P05365000,2025-04-03 17:17:30+00:00,5365.0,0.95,0.9,1.0,0.5,111.111115,16421.0,1207,0.16462017028808595,False,REGULAR,USD
48,SPXW250403P05370000,2025-04-03 17:17:36+00:00,5370.0,1.1,1.1,1.2,0.40000004,57.142864,18808.0,2334,0.16205671936035154,False,REGULAR,USD
49,SPXW250403P05375000,2025-04-03 17:16:42+00:00,5375.0,1.2,1.2,1.25,0.66,122.22221,17752.0,3411,0.1544274011230469,False,REGULAR,USD
50,SPXW250403P05380000,2025-04-03 17:17:11+00:00,5380.0,1.65,1.6,1.65,1.15,328.5714,24819.0,1649,0.15515981567382814,False,REGULAR,USD
51,SPXW250403P05385000,2025-04-03 17:17:11+00:00,5385.0,2.0,2.0,2.05,1.5,300.0,15196.0,2005,0.1539086074829102,False,REGULAR,USD
52,SPXW250403P05390000,2025-04-03 17:17:13+00:00,5390.0,2.48,2.55,2.6,1.9100001,335.0878,18568.0,809,0.15384757293701173,False,REGULAR,USD
53,SPXW250403P05395000,2025-04-03 17:17:10+00:00,5395.0,3.0,2.95,3.1,1.82,158.26088,16948.0,371,0.15119257019042973,False,REGULAR,USD
54,SPXW250403P05400000,2025-04-03 17:17:42+00:00,5400.0,4.1,4.0,4.1,3.46,1017.64734,61779.0,4624,0.15424429748535157,False,REGULAR,USD
55,SPXW250403P05405000,2025-04-03 17:17:39+00:00,5405.0,4.7,4.7,4.9,4.1,683.33344,14347.0,247,0.1523369679260254,False,REGULAR,USD
56,SPXW250403P05410000,2025-04-03 17:16:47+00:00,5410.0,4.9,5.1,5.3,4.25,653.84607,15453.0,640,0.14420411468505856,False,REGULAR,USD
57,SPXW250403P05415000,2025-04-03 17:17:09+00:00,5415.0,6.4,6.3,6.5,5.6,933.3335,14563.0,456,0.1439599765014648,False,REGULAR,USD
